"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 1","U.S. Senate","","DEM","Charles E. Schumer","407"
"Rensselaer","Troy 2","U.S. Senate","","DEM","Charles E. Schumer","176"
"Rensselaer","Troy 3","U.S. Senate","","DEM","Charles E. Schumer","261"
"Rensselaer","Troy 4","U.S. Senate","","DEM","Charles E. Schumer","219"
"Rensselaer","Troy 5","U.S. Senate","","DEM","Charles E. Schumer","291"
"Rensselaer","Troy 6","U.S. Senate","","DEM","Charles E. Schumer","281"
"Rensselaer","Troy 7","U.S. Senate","","DEM","Charles E. Schumer","404"
"Rensselaer","Troy 8","U.S. Senate","","DEM","Charles E. Schumer","264"
"Rensselaer","Troy 9","U.S. Senate","","DEM","Charles E. Schumer","334"
"Rensselaer","Troy 10","U.S. Senate","","DEM","Charles E. Schumer","310"
"Rensselaer","Troy 11","U.S. Senate","","DEM","Charles E. Schumer","386"
"Rensselaer","Troy 12","U.S. Senate","","DEM","Charles E. Schumer","342"
"Rensselaer","Troy 13","U.S. Senate","","DEM","Charles E. Schumer","379"
"Rensselaer","Troy 14","U.S. Senate","","DEM","Charles E. Schumer","281"
"Rensselaer","Troy 15","U.S. Senate","","DEM","Charles E. Schumer","325"
"Rensselaer","Troy 16","U.S. Senate","","DEM","Charles E. Schumer","251"
"Rensselaer","Troy 17","U.S. Senate","","DEM","Charles E. Schumer","338"
"Rensselaer","Troy 18","U.S. Senate","","DEM","Charles E. Schumer","424"
"Rensselaer","Troy 19","U.S. Senate","","DEM","Charles E. Schumer","376"
"Rensselaer","Troy 20","U.S. Senate","","DEM","Charles E. Schumer","290"
"Rensselaer","Troy 21","U.S. Senate","","DEM","Charles E. Schumer","325"
"Rensselaer","Troy 22","U.S. Senate","","DEM","Charles E. Schumer","345"
"Rensselaer","Troy 23","U.S. Senate","","DEM","Charles E. Schumer","114"
"Rensselaer","Troy 24","U.S. Senate","","DEM","Charles E. Schumer","407"
"Rensselaer","Troy 25","U.S. Senate","","DEM","Charles E. Schumer","295"
"Rensselaer","Troy 26","U.S. Senate","","DEM","Charles E. Schumer","309"
"Rensselaer","Troy 27","U.S. Senate","","DEM","Charles E. Schumer","280"
"Rensselaer","Troy 28","U.S. Senate","","DEM","Charles E. Schumer","245"
"Rensselaer","Troy 29","U.S. Senate","","DEM","Charles E. Schumer","312"
"Rensselaer","Troy 30","U.S. Senate","","DEM","Charles E. Schumer","294"
"Rensselaer","Rensselaer 1","U.S. Senate","","DEM","Charles E. Schumer","280"
"Rensselaer","Rensselaer 2","U.S. Senate","","DEM","Charles E. Schumer","340"
"Rensselaer","Rensselaer 3","U.S. Senate","","DEM","Charles E. Schumer","282"
"Rensselaer","Rensselaer 4","U.S. Senate","","DEM","Charles E. Schumer","295"
"Rensselaer","Rensselaer 5","U.S. Senate","","DEM","Charles E. Schumer","358"
"Rensselaer","Rensselaer 6","U.S. Senate","","DEM","Charles E. Schumer","463"
"Rensselaer","Berlin 1","U.S. Senate","","DEM","Charles E. Schumer","179"
"Rensselaer","Berlin 2","U.S. Senate","","DEM","Charles E. Schumer","129"
"Rensselaer","Brunswick 1","U.S. Senate","","DEM","Charles E. Schumer","416"
