"county","precinct","office","district","party","candidate","votes"
"Fulton","Gloversville Ward 1 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",166
"Fulton","Gloversville Ward 1 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",195
"Fulton","Gloversville Ward 2 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",128
"Fulton","Gloversville Ward 2 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",104
"Fulton","Gloversville Ward 3 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",249
"Fulton","Gloversville Ward 3 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",206
"Fulton","Gloversville Ward 4 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",158
"Fulton","Gloversville Ward 4 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",149
"Fulton","Gloversville Ward 5 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",248
"Fulton","Gloversville Ward 5 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",231
"Fulton","Gloversville Ward 6 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",150
"Fulton","Gloversville Ward 6 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",176
"Fulton","Johnstown Ward 1 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",185
"Fulton","Johnstown Ward 1 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",198
"Fulton","Johnstown Ward 2 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",186
"Fulton","Johnstown Ward 2 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",181
"Fulton","Johnstown Ward 3 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",179
"Fulton","Johnstown Ward 3 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",183
"Fulton","Johnstown Ward 4 Dist 1","U.S. Senate",NA,"DEM","Chuck Schumer",251
"Fulton","Johnstown Ward 4 Dist 2","U.S. Senate",NA,"DEM","Chuck Schumer",145
"Fulton","Bleecker","U.S. Senate",NA,"DEM","Chuck Schumer",121
"Fulton","Broadalbin 1","U.S. Senate",NA,"DEM","Chuck Schumer",259
"Fulton","Broadalbin 2","U.S. Senate",NA,"DEM","Chuck Schumer",274
"Fulton","Broadalbin 3","U.S. Senate",NA,"DEM","Chuck Schumer",170
"Fulton","Broadalbin 4","U.S. Senate",NA,"DEM","Chuck Schumer",207
